GST_ID_NO,Weight,GST_Cereal,GST_Other,GST_Total
410671101,738,6,891,897
410671102,738,45,11087,11132
410671201,811,23,2390,2413
410671202,811,44,8523,8567
410671203,811,29,2478,2507
410671204,811,37,4911,4948
410671301,664,25,1642,1666
410671302,664,5,588,593
410681101,408,32,99070,99102
410681102,408,63,36800,36863
410681103,408,47,7746,7793
410681104,408,36,8004,8040
410681201,4198,47,4303,4350
410681202,4198,39,5162,5201
410681203,4198,59,6463,6522
410681204,4198,41,5196,5236
410691101,2120,26,4461,4486
410691102,2120,16,1949,1966
410691103,2120,30,3822,3852
410691104,2120,23,3706,3729
410691201,2640,21,4503,4524
410691202,2640,35,8012,8046
410691203,2640,21,2741,2762
410691204,2640,20,2542,2562
410701101,3848,27,17306,17333
410701102,3848,41,11921,11962
410701201,1418,30,10152,10182
410701202,1418,15,532,547
410701203,1418,,597,0
410701204,1418,35,4189,4224
410701301,878,33,2353,2386
410701302,878,36,5471,5507
410711101,2050,25,3751,3776
410711102,2050,20,16024,16044
410711201,3253,21,2945,2966
410711202,3253,29,2428,2456
410711203,3253,24,2513,2537
410711204,3253,22,6315,6337
410711301,1426,22,860,882
410711302,1426,16,1427,1443
410721101,3146,11,2611,2623
410721102,3146,29,4538,4567
410721201,5797,24,4069,4093
410721202,5797,32,41125,41157
410721203,5797,24,4242,4267
410721204,5797,11,1949,1960
410721301,1348,8,2263,2272
410721302,1348,13,2172,2185
410731101,2889,,3188,0
410731102,2889,11,7339,7349
410731103,2889,6,3875,3881
410731104,2889,13,23953,23966
410731201,936,11,6999,7010
410731202,936,20,9319,9339
410731203,936,12,4769,4781
410731204,936,15,5036,5051
410741101,4516,,965,0
410741102,4516,,864,0
410741201,5798,,1194,0
410741202,5798,,1378,0
410741203,5798,,878,0
410741204,5798,,1256,0
410741301,1232,72,6683,6755
410741302,1232,25,3409,3434
410751101,5362,17,8332,8349
410751102,5362,29,12528,12557
410751201,3932,47,8189,8236
410751202,3932,20,7360,7380
410751203,3932,9,2358,2368
410751204,3932,27,6092,6119
410751301,536,24,3420,3444
410751302,536,13,1423,1436
410761101,2371,17,5421,5438
410761102,2371,86,24864,24950
410761201,3188,23,9125,9148
410761202,3188,24,3943,3967
410761203,3188,29,3304,3333
410761204,3188,25,3461,3486
410761301,654,35,5749,5784
410761302,654,44,3876,3920
410771101,99,40,16160,16200
410771102,99,40,22528,22569
410771201,359,27,3763,3790
410771202,359,42,13113,13156
410771203,359,1,1170,1171
410771204,359,22,3745,3767
410771301,1188,15,2924,2939
410771302,1188,11,4338,4349
410781101,990,60,7230,7290
410781102,990,33,5116,5149
410781201,2079,29,3908,3937
410781202,2079,38,5205,5243
410781203,2079,12,1963,1975
410781204,2079,28,3845,3872
410781301,4026,23,3148,3170
410781302,4026,24,3624,3647
410791101,1717,42,20678,20720
410791102,1717,26,29027,29054
410791103,1717,36,12972,13008
410791104,1717,22,17725,17747
410791201,467,34,7697,7731
410791202,467,18,2402,2420
410791203,467,27,5362,5389
410791204,467,28,22946,22973
410801101,4674,27,32148,32175
410801102,4674,21,12642,12663
410801103,4674,16,14507,14523
410801104,4674,19,13955,13974
410801201,809,38,8823,8860
410801202,809,29,10318,10347
410801203,809,29,6317,6346
410801204,809,29,10092,10121
410811101,2588,32,9098,9130
410811102,2588,28,9312,9341
410811201,858,39,12278,12317
410811202,858,82,15395,15477
410811203,858,38,3326,3364
410811204,858,22,6304,6325
410811301,51,38,3258,3296
410811302,51,30,2679,2709
410821101,505,44,47962,48006
410821102,505,12,7901,7914
410821201,1098,33,3575,3607
410821202,1098,12,1824,1836
410821203,1098,29,4977,5006
410821204,1098,33,6249,6282
410821301,202,23,2917,2940
410821302,202,30,1785,1815
410831101,1114,22,11606,11628
410831102,1114,5,1339,1344
410831103,1114,26,8806,8832
410831104,1114,7,1194,1201
410831201,2273,18,2380,2398
410831202,2273,47,8247,8294
410831203,2273,33,7158,7191
410831204,2273,21,3614,3635
410841101,3198,1,1718,1720
410841102,3198,43,5457,5500
410841201,6045,16,1988,2004
410841202,6045,27,7267,7294
410841203,6045,9,1816,1825
410841204,6045,35,5623,5658
410841301,156,20,1849,1869
410841302,156,17,1830,1847
410851101,2566,35,8083,8118
410851102,2566,33,7272,7306
410851201,667,27,3107,3134
410851202,667,39,4259,4298
410851203,667,11,1746,1757
410851204,667,51,9125,9176
410851301,308,42,1976,2018
410851302,308,,278,0
410861101,272,30,19136,19166
410861102,272,12,1797,1808
410861201,693,21,9009,9031
410861202,693,20,10315,10335
410861203,693,18,3934,3953
410861204,693,33,6467,6501
410861301,223,14,1144,1158
410861302,223,14,1334,1348
410871201,3222,152,13658,13810
410871202,3222,24,5608,5633
410871203,3222,23,8450,8473
410871204,3222,62,6656,6718
410871205,3222,9,1948,1958
410871206,3222,7,4201,4208
410871301,1381,30,1737,1767
410871302,1381,36,3275,3311
410881101,818,6,785,792
410881102,818,23,17753,17776
