GTI2017,citax2017,GTI2018,citax2018
11220356,3709786,8108508,2505529
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
8793317,2717135,1829438,565296
62526,19320,0,0
430913,133152,25920,8009
0,0,733368,226611
927290,286533,344207,106360
7564334,2337379,6040499,1866514
0,0,0,0
0,0,496009,153267
23110485,21918,17352433,5737235
0,0,0,0
0,0,0,0
277170,85646,199567,61666
0,0,0,0
4650513,1437008,2681811,828680
11240605,3716481,24022033,6987238
0,0,0,0
0,0,0,0
0,0,0,0
48675265,16093503,14819939,4899916
116764,36080,426778,131875
0,0,0,0
0,0,0,0
13994766,4627089,15460382,5111666
0,0,16973,5245
1450277,448136,864127,267015
4881361,1299289,24642483,8147544
0,0,0,0
0,0,0,0
20615034,6815949,18203771,6018713
6331900,1956557,0,161
645939,199595,474231,146537
94497,29199,58214,17988
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
715399,221058,414000,127926
0,0,1298403,401206
797465,246417,506537,156520
4098,1266,2848,880
32921,10173,21528,6652
0,0,0,0
1147432,354556,1040263,321441
20733380,6855078,11614527,3840111
1002817,309870,342338,105782
4493610,1388525,2625898,811402
14784290,4520865,8407400,2562840
84457,26097,64734,20003
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,46396,14336
164120,50713,83575,25825
0,0,0,0
232157,71736,138722,42865
5095,1574,283240,87521
0,0,0,0
321842,99449,203520,62888
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,337910,104414
33148,10243,11135,3441
0,0,0,0
0,0,79125,24450
0,0,0,0
5255,1624,2904,897
4393613,921229,194867,60214
0,0,0,0
140366,43373,63362,19579
1423,440,10002,3091
0,0,0,0
9302584,2874499,8725766,2696262
4327,1337,0,0
0,0,51316253,16966693
1994257,616225,1055430,326128
1244417,384525,67758904,22403126
140817,43512,454162,140336
0,0,0,0
18407510,6086075,1711940,528989
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
4248,1313,49932,15429
37405252,12367298,32074796,10604890
4184677,1293065,1122343,346804
615740,190264,1115422,344665
259097,80061,1011596,312583
0,0,18261,5643
79806,24660,357911,110595
0,0,0,0
10008303,3309045,2171201,670901
7938116,1777897,11947235,3950114
0,0,0,0
2232437,681803,4649802,1436789
0,0,0,0
461,142,0,0
7398852,2286245,6275182,1939031
240374,74276,527247,162919
959,296,1009,312
0,0,0,0
24720707,6130325,34273107,11331717
7309495,2258634,3459748,1069062
0,0,0,0
0,0,529059,108986
66201,20456,0,0
124472,38462,0,0
8000157,2472049,681158,210478
5615919,1735319,4458513,1337253
17131166,5664077,10267387,3394706
0,0,0,0
560,173,253,78
0,0,588898,181969
506254,156432,79471,24556
347227,107293,298182,92138
61379943,20294051,32678804,10802430
0,0,0,0
53015602,17528549,31086730,9964305
72099605,23838292,41078152,13581669
1737,537,0,0
500424,154631,338618,104633
0,0,0,0
4739099,1464382,1253051,387193
836035,258335,477681,147603
33594774,11107440,17516921,5791620
0,0,0,0
3743076,1156610,0,0
1266761,391429,918287,283751
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
318713,98482,149471,46186
1919264,593053,2404952,743130
2889318,888938,3187348,984711
722622,223290,406836,125712
0,0,1105403,341570
11105787,2151901,0,0
66302,20487,0,0
311008,96101,63833,19724
0,0,0,0
0,0,0,0
12296089,4065456,5993932,1852125
0,0,0,0
76527,23647,47771,14761
6077353,1877902,2224282,687303
4272724,1320272,2638980,815445
351701,108676,129768,40098
108253,33450,149802,46289
4119677,1272980,6163060,1904385
408188258,141265792,0,0
18843,5823,19256,5950
816,252,2791,863
0,0,814352,251635
1119657,345974,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1669890,515996,838523,259103
0,0,0,0
1954786,604029,1448811,447683
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1353020,418083,346741,107143
46962,14511,5556467,1164773
231057,71397,216214,66810
0,0,0,0
23912027,7844733,15940300,5270341
4368839,1349971,0,0
0,0,0,0
0,0,0,0
0,0,0,0
267486,82653,33649,10397
165547,51154,0,0
1336765,413061,0,0
0,0,0,0
0,0,0,0
95519860,31581731,29679326,9812876
38434,11876,114067,35247
10592,3273,149647,46241
136816,42276,344383,106414
6726139,2078377,5266762,1627430
0,0,163515,50526
528696,163367,422968,130697
0,0,0,0
1349576,417019,0,0
12223,3777,4197,1297
0,0,0,0
13524915,4410450,5810912,1795572
80176647,26508805,26750299,8844452
7276,2248,0,0
0,170291,0,0
0,0,15618,4826
0,0,0,0
5458269,1686605,1542473,476624
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
196095689,50311308,378886,117076
0,0,0,0
131996,40787,0,0
0,0,0,0
8499470,2626336,2069844,639582
9169,2833,12442,3845
0,0,0,0
0,0,49896,15418
0,0,0,0
25115,7761,16146,4989
50408,15576,112682,34819
0,0,3423414,1057835
7904948,2442629,4706707,1454373
614845,189987,0,0
847487,261874,357078,110337
0,0,0,0
0,0,106955,33049
12644116,4180524,0,0
4566001,1410894,13072196,4322060
0,0,0,0
5460,1687,0,0
2570048,794145,1561952,482643
295819,91408,218966,67661
2240360,692271,761256,235228
324415818,109018947,164951554,57030289
0,0,0,0
3377685,1043705,1160991,358746
56377,17420,141384,43688
4756127,1469643,4194098,1295976
0,0,277269,85676
0,0,0,0
0,0,0,0
13363428,4418350,7700437,2379435
1976,611,829,256
5802446,1792956,0,0
307026479,106255724,24045978,7950322
0,0,14605,4513
149997,46349,7625,2356
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
874145,270111,666637,205991
1461,451,624,193
530667,163976,0,0
182305,56332,423161,130757
0,0,0,0
52004933,17194391,0,0
0,0,0,0
0,0,7305641,2257443
1314173,406080,2425404,749450
115623,35727,98702,30499
51301371,16961772,34764547,11494202
1955751,604327,1334752,412438
32299,9980,0,0
0,0,0,0
7175605,2217262,1616349,499452
2424641,749214,1536492,474776
0,0,389012,120205
0,0,0,0
19734,6098,229970,71061
0,0,0,0
0,0,0,0
99587863,32926735,137201470,47482685
0,0,0,0
654699,202302,0,0
69890,21596,167621,51795
2325886,718699,1453596,449161
8064447,2491914,2603773,804566
22058892,7293332,13255213,4382571
0,0,0,0
18632,5757,143890,44462
0,0,0,0
291526,90082,350625,108343
0,0,0,0
15359,4746,8492,2624
13213,4083,6439,1990
0,0,0,0
2531218,782146,1123590,347189
44110571,10894471,0,0
0,0,0,0
0,0,0,0
0,0,0,0
16134607,0,16838177,2161314
0,0,0,0
0,0,0,0
0,0,393056,121454
44662,13800,52140,16111
246929,76301,46392,14335
0,0,0,0
0,0,0,0
0,0,0,0
5248672,1621840,3565759,1101820
0,0,0,0
2142629,662072,1600381,494518
170873177,58245914,121968209,42142840
43631,13482,59694,18446
0,0,411600496,142446700
31404633,10383314,27553309,9109950
325139042,112524120,218951188,75548235
132306,40883,0,0
55202565,0,35065408,3616629
755785,233538,820304,253474
0,0,0,0
0,0,0,0
2114149,653272,1149473,355187
23654623,7820928,71757080,23725043
0,0,0,0
4020526,1242342,2262833,699215
8859659,2737635,2381794,735974
5782974,1595997,8691618,2685710
39506,12207,0,0
146539,45281,0,0
0,0,63857,19732
0,0,0,0
22567339,5985937,5035509,1555972
0,0,29415435,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1229221,379829,770278,238016
300617,92891,380367,117533
7620328,2194290,0,0
0,0,0,0
0,0,0,0
11889346,3930975,12015582,3972712
56134,17345,12882,3980
1188265,367174,7821133,2416730
350248,108227,887575,274261
0,0,0,0
11094158,3668061,4951746,1530090
0,0,0,0
0,0,330261,102051
14139473,4674934,10966505,3625856
874752,270298,1383447,427485
0,0,0,0
5645686,1744517,1409057,435399
1261663,389854,299624,92584
0,0,0,0
3407366,1052876,899015,277796
0,0,0,0
0,0,0,0
4680740,1446349,0,0
0,0,0,0
10326,3191,5656,1748
9731207,3006943,22862022,7558870
19121662,0,7501755,1529228
0,0,0,0
1766946,545986,851792,263204
3628296,1121143,1873019,578763
6386129,1973314,4208423,1300403
27298569,9025726,20503617,6779111
256699,79320,458109,141556
7825547,2418094,1529183,472517
0,0,0,0
5054,1562,5852,1808
0,0,1457971,450513
1776258,548864,1349984,417145
3972203,1227411,880167,271972
155586149,53289489,30463015,10035261
0,0,0,0
25905573,8565160,7681832,2373686
0,0,0,0
0,0,456223,140973
6808456,2103813,11567036,3824409
0,0,0,0
0,0,0,0
19038856,5352960,16735887,5197981
741059651,255784953,391950347,116867263
0,0,0,0
0,0,0,0
32265861,0,14286194,4077443
0,0,0,0
0,0,0,0
65463858,14956472,15244997,3869054
349674,108049,295754,91388
0,0,0,0
677692,209407,438762,135578
25081459,8292683,18886008,6244281
4432664,1369693,2299072,710413
0,0,0,0
0,0,0,0
