GTI2017,citax2017,GTI2018,citax2018
3448489,1065583,3448489,1065583
121249340,41934787,121249340,41934787
0,0,0,0
491833988,159337861,491833988,159337861
18988629,6278210,18988629,6278210
124822748,42880263,124822748,42880263
11454,3539,11454,3539
43169091,12728038,43169091,12728038
213782,66059,213782,66059
0,0,0,0
0,0,0,0
754081,233011,754081,233011
0,352,0,352
0,0,0,0
2043842,615943,2043842,615943
1187199,366844,1187199,366844
0,0,0,0
1297955,401068,1297955,401068
49484,15290,49484,15290
0,0,0,0
0,0,0,0
2514120,776863,2514120,776863
120484439,3576433,120484439,3576433
241958,50688,241958,50688
0,0,0,0
0,0,0,0
0,0,0,0
51388,15879,51388,15879
181881,56201,181881,56201
0,0,0,0
2971,918,2971,918
0,0,0,0
10932794,3614710,10932794,3614710
16771,5182,16771,5182
47926,14809,47926,14809
1545413,477533,1545413,477533
0,0,0,0
1082,334,1082,334
0,0,0,0
477224,147462,477224,147462
7186913,2220756,7186913,2220756
355824,109949,355824,109949
0,0,0,0
130,40,130,40
0,0,0,0
0,0,0,0
473655,146359,473655,146359
0,0,0,0
488145,150837,488145,150837
0,0,0,0
0,0,0,0
2645116,552259,2645116,552259
0,0,0,0
1224761,378451,1224761,378451
0,0,0,0
307835,95121,307835,95121
231244,71454,231244,71454
7280145,2249565,7280145,2249565
14978712,4952412,14978712,4952412
282461,87280,282461,87280
506396,156476,506396,156476
58278,18008,58278,18008
346651,107115,346651,107115
1185649,366366,1185649,366366
945766,292242,945766,292242
186979,57776,186979,57776
109276685,37667491,109276685,37667491
792792,244973,792792,244973
8474532,2618630,8474532,2618630
0,0,0,0
1851500,572114,1851500,572114
8376284,2588272,8376284,2588272
0,0,0,0
0,0,0,0
13789859,4377559,13789859,4377559
228959336,75349956,228959336,75349956
0,0,0,0
0,0,0,0
5196766,1605801,5196766,1605801
406,125,406,125
0,0,0,0
124072,38338,124072,38338
246772,76252,246772,76252
0,0,0,0
166901,51573,166901,51573
1269,392,1269,392
1410904,435969,1410904,435969
0,0,0,0
1166701,360511,1166701,360511
1290422,398740,1290422,398740
0,0,0,0
0,0,0,0
114431,35359,114431,35359
1332512,411746,1332512,411746
0,0,0,0
0,0,0,0
14092,4354,14092,4354
307369,94977,307369,94977
0,0,0,0
0,0,0,0
80598,24905,80598,24905
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
716608,221432,716608,221432
0,0,0,0
421441,130225,421441,130225
2097943,648264,2097943,648264
0,0,0,0
402795,124464,402795,124464
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
37863585,12518837,37863585,12518837
7117,2199,7117,2199
0,0,0,0
393973,121738,393973,121738
312437,96543,312437,96543
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
33353,10306,33353,10306
0,0,0,0
353,109,353,109
771929,238526,771929,238526
0,0,0,0
0,0,0,0
0,0,0,0
386,119,386,119
0,0,0,0
49124411,16242004,49124411,16242004
0,0,0,0
334034,103216,334034,103216
0,0,0,0
1638005,505355,1638005,505355
109261,33762,109261,33762
0,0,0,0
2899,896,2899,896
0,0,0,0
0,0,0,0
86230,26645,86230,26645
0,0,0,0
5245,1621,5245,1621
1626835,502692,1626835,502692
38622,11934,38622,11934
0,0,0,0
0,0,0,0
0,0,0,0
10670908,3528122,10670908,3528122
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
27439,8479,27439,8479
0,0,0,0
470891,145505,470891,145505
0,0,0,0
4506,1392,4506,1392
0,0,0,0
0,0,0,0
0,0,0,0
7104621,2195328,7104621,2195328
0,0,0,0
351439,108595,351439,108595
0,0,0,0
98704,30500,98704,30500
7415389,2291355,7415389,2291355
313331,96819,313331,96819
0,0,0,0
4684674,1447564,4684674,1447564
2765124,854423,2765124,854423
0,0,0,0
0,0,0,0
502076,155142,502076,155142
9898099,3058513,9898099,3058513
0,0,0,0
48852,15095,48852,15095
0,0,0,0
0,0,0,0
6587892,2035659,6587892,2035659
16481,5093,16481,5093
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
63562619,21015709,63562619,21015709
8697,2687,8697,2687
0,0,0,0
680,210,680,210
2940,908,2940,908
0,0,0,0
35080,10840,35080,10840
0,0,0,0
12407931,4102434,12407931,4102434
94465091,31210026,94465091,31210026
34898,10783,34898,10783
7020842,2169440,7020842,2169440
276,85,276,85
0,0,0,0
0,0,0,0
1423198,439768,1423198,439768
0,0,0,0
23130,7147,23130,7147
0,0,0,0
304610,94124,304610,94124
1753661,541881,1753661,541881
3941,6698,3941,6698
0,0,0,0
829031,256171,829031,256171
110639,34187,110639,34187
4634,1432,4634,1432
6884413,2127284,6884413,2127284
0,0,0,0
49335,15245,49335,15245
0,0,0,0
0,0,0,0
37204,11496,37204,11496
280474,86666,280474,86666
132939,41078,132939,41078
722536,223264,722536,223264
0,0,0,0
2334,721,2334,721
5310692,1641004,5310692,1641004
11826638,3910241,11826638,3910241
0,0,0,0
358690,110835,358690,110835
0,0,0,0
0,0,0,0
8720,2694,8720,2694
823002,254308,823002,254308
0,0,0,0
27,8,27,8
804375,248552,804375,248552
0,0,0,0
538370,166356,538370,166356
2350,726,2350,726
110143,34034,110143,34034
0,0,0,0
788617,243683,788617,243683
0,0,0,0
13585932,4491917,13585932,4491917
55859,17260,55859,17260
4837,1495,4837,1495
13643387,4510913,13643387,4510913
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
18222,5630,18222,5630
0,0,0,0
115288,35624,115288,35624
0,0,0,0
0,0,0,0
0,0,0,0
20258,6260,20258,6260
80103,24752,80103,24752
0,0,0,0
621522,192050,621522,192050
9234141,2851418,9234141,2851418
1000969,308821,1000969,308821
1448,447,1448,447
0,0,0,0
10736483,3549803,10736483,3549803
0,0,0,0
895244,276630,895244,276630
0,0,0,0
0,0,0,0
822115,254034,822115,254034
192066832,64317178,192066832,64317178
0,0,0,0
0,0,0,0
0,0,0,0
91246,28195,91246,28195
547962,169320,547962,169320
1230921,380355,1230921,380355
0,0,0,0
0,0,0,0
140963,43558,140963,43558
38986394,12890071,38986394,12890071
0,0,0,0
0,0,0,0
1608286,496960,1608286,496960
939400,290275,939400,290275
0,0,0,0
0,0,0,0
4955920,1531379,4955920,1531379
2945,910,2945,910
0,0,0,0
0,0,0,0
0,0,0,0
1440298,445052,1440298,445052
1131259,349559,1131259,349559
0,0,0,0
0,0,0,0
158363,48934,158363,48934
0,0,0,0
14685,4538,14685,4538
695714,190437,695714,190437
0,0,0,0
0,0,0,0
0,0,0,0
22347,6905,22347,6905
19579652,6473620,19579652,6473620
147399823,51012131,147399823,51012131
3486,1077,3486,1077
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1812576,560086,1812576,560086
79832,24668,79832,24668
0,0,0,0
1836902,567603,1836902,567603
0,0,0,0
48558481,16054891,48558481,16054891
0,0,0,0
61023,18856,61023,18856
30663,9475,30663,9475
653650,201978,653650,201978
0,0,0,0
1348330,416634,1348330,416634
0,0,0,0
2520405,778805,2520405,778805
302193375,55765423,302193375,55765423
13848,4279,13848,4279
0,0,0,0
0,0,0,0
0,0,0,0
43493,13439,43493,13439
0,0,0,0
37227243,12308443,37227243,12308443
0,0,0,0
1234190,381365,1234190,381365
0,0,0,0
22257,6877,22257,6877
0,0,0,0
96982331,32065268,96982331,32065268
0,0,0,0
0,0,0,0
5003,1546,5003,1546
2865074,885308,2865074,885308
0,0,0,0
0,0,0,0
0,0,0,0
2846491,879566,2846491,879566
187766,58020,187766,58020
1779733,549937,1779733,549937
686055,211822,686055,211822
0,0,0,0
0,0,0,0
2915,901,2915,901
0,0,0,0
238,74,238,74
13935,4306,13935,4306
0,0,0,0
21219794,7015901,21219794,7015901
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1629045,503375,1629045,503375
0,0,0,0
667527,206266,667527,206266
0,0,0,0
76,24,76,24
122703798,41825083,122703798,41825083
1606741,496483,1606741,496483
670057,207048,670057,207048
116892,36119,116892,36119
45033,13915,45033,13915
1662455,513699,1662455,513699
0,0,0,0
4189084,1294427,4189084,1294427
0,0,0,0
460135,142182,460135,142182
1161433,358883,1161433,358883
1855945,573487,1855945,573487
0,0,0,0
0,0,0,0
3047150,941569,3047150,941569
7317072,2260975,7317072,2260975
55271,17079,55271,17079
0,14813,0,14813
0,0,0,0
18963,5860,18963,5860
0,0,0,0
0,0,0,0
675473,208721,675473,208721
0,0,0,0
0,5986,0,5986
0,0,0,0
1411595,436183,1411595,436183
3003151,927974,3003151,927974
1092391,337549,1092391,337549
30825,9525,30825,9525
0,0,0,0
2862867,876901,2862867,876901
373,115,373,115
0,0,0,0
0,0,0,0
80336321,26561598,80336321,26561598
791726,235879,791726,235879
981138,303172,981138,303172
873505,269913,873505,269913
0,0,0,0
5388372,1665007,5388372,1665007
0,0,0,0
