FILING_SEQ_NO,AGEGRP,SALARIES,INCOME_HP,TOTAL_PROFTS_GAINS_BP,TOTAL_INCOME_OS,GTI,TTI,pitax1,pitax2,pitax_diff,percent change in tax,Zero change
267305998,0,43086,0,435600,716,479402,362284,5783,0,-5783,-100,0
267312809,0,0,0,885276,18618,903894,874109,89942,77815,-12127,-13,0
267331233,1,0,0,594739,137,594876,594755,29820,19709,-10110,-34,0
267332342,0,0,0,599563,1401,639587,604080,32326,19640,-12686,-39,0
267355950,0,0,0,458136,0,458136,458136,10719,0,-10719,-100,0
267363007,1,0,0,345617,73,345690,345626,0,0,0,0,1
267365489,0,0,0,302500,168,302668,302520,0,0,0,0,1
267389326,0,0,0,1040299,176828,1217127,1044092,129499,117757,-11743,-9,0
267407794,0,0,0,371137,8554,379692,351838,5245,0,-5245,-100,0
267411363,0,0,0,982835,0,982835,832835,81439,69230,-12209,-15,0
267415492,0,0,0,345159,51,345210,345165,1296,0,-1296,-100,0
267437526,0,0,0,348845,10216,359061,350054,5153,0,-5153,-100,0
267437815,0,0,0,494179,0,494179,410779,8280,0,-8280,-100,0
267438857,0,0,0,262611,99619,362230,362230,5780,0,-5780,-100,0
267485353,0,0,0,303044,0,303044,303044,0,0,0,0,1
267497731,0,0,0,210089,531,210619,210151,0,0,0,0,1
267502092,0,0,0,398356,0,398356,388556,7136,0,-7136,-100,0
267537591,0,191494,0,1106952,9531,1558636,1404405,202109,191071,-11038,-5,0
267548753,0,0,0,0,130376,2071400,1956453,398262,402128,3867,1,0
267566687,0,0,0,435789,923,436712,385798,6994,0,-6994,-100,0
267575919,0,0,0,447882,0,447882,417377,8620,0,-8620,-100,0
267576422,1,0,115589,0,330912,446502,415300,5938,0,-5938,-100,0
267589771,0,0,0,576575,12589,589163,436366,9598,0,-9598,-100,0
267600012,0,0,0,398247,0,398247,398247,7635,0,-7635,-100,0
267646979,0,0,0,312445,1294,313739,312598,0,0,0,0,1
267659398,0,0,0,336289,3282,339572,336678,859,0,-859,-100,0
267669568,0,0,0,449152,2098,451250,387900,7102,0,-7102,-100,0
267679409,0,0,0,82728,263584,346311,339670,1013,0,-1013,-100,0
267687089,0,0,0,1032498,0,1032498,993918,114622,102735,-11887,-10,0
267702895,0,0,0,385041,0,385041,360041,5667,0,-5667,-100,0
267711539,0,0,0,255976,91872,347848,347848,1434,0,-1434,-100,0
267721237,0,0,0,269727,2157,271884,270085,0,0,0,0,1
267728754,0,0,0,324338,0,324338,319569,0,0,0,0,1
267732448,0,0,0,431037,30461,461498,388778,7147,0,-7147,-100,0
267753758,0,0,0,369050,0,369050,369050,6131,0,-6131,-100,0
267764491,0,0,0,484605,8847,493452,418452,8675,0,-8675,-100,0
267767075,2,0,0,362494,1526,364020,363200,0,0,0,0,1
267791162,0,0,0,333816,16312,350128,346089,1344,0,-1344,-100,0
267792569,1,0,0,1015720,0,1015720,865720,85638,76070,-9569,-11,0
267837129,0,0,0,50643,6611,57255,57255,0,0,0,0,1
267902462,1,0,0,51721,50404,102125,92125,0,0,0,0,1
267905509,0,0,0,1225850,31315,1257165,1097165,145899,134315,-11584,-8,0
267934779,1,0,0,487044,327952,814996,699255,51347,41445,-9901,-19,0
267937500,0,0,0,782076,192466,1020061,874245,89969,77843,-12127,-13,0
