GST_ID_NO,Weight,Weighted GST_Cereal,Weighted Total Consumption,Weighted GST
443411301,1235,2407730,403770592,28379824
443411302,1235,348946,176978946,13275308
443421101,3243,6545653,5551534394,643252154
443421102,3243,5386766,3588389687,332092821
443421201,1375,2118470,360878743,27753334
443421202,1375,2143713,933657153,89777531
443421203,1375,1495162,261993663,18892556
443421204,1375,302916,167889973,16470539
443421301,141,298335,33664937,2254736
443421302,141,102167,25397459,1770646
443431101,1012,1118945,454129062,29698716
443431102,1012,810271,398511217,30194674
443431201,2423,2943094,503770251,36585316
443431202,2423,2902028,456999327,33370712
443431203,2423,1307281,442950286,35977510
443431204,2423,3261359,1345775174,101440521
443431301,1225,736938,154370694,10222008
443431302,1225,1428898,249049202,17820500
443441101,736,1157493,1250410634,151077171
443441102,736,1169962,335834656,30222960
443441201,2441,3247744,956418839,78990892
443441202,2441,4399280,1579517481,112281916
443441203,2441,1789362,653805728,64117314
443441204,2441,4947466,1251501837,100314147
443441301,3812,7850016,1200293022,94232374
443441302,3812,4958755,1230074425,97159051
443451101,3016,4280816,2867533158,234391852
443451102,3016,319464,1279520011,107749086
443451103,3016,5366993,4061045907,305096106
443451104,3016,1742143,1293929283,114212562
443451201,534,529235,165788366,11851495
443451202,534,737311,247093225,19589808
443451203,534,206568,47855121,3948612
443451204,534,503603,171686188,11657352
443461101,320,340158,154301021,11459553
443461102,320,368655,158018866,18299015
443461201,3069,2427545,656965127,55696366
443461202,3069,2960737,894304340,59211239
443461203,3069,5284244,1156342383,82871008
443461204,3069,1707951,1287689570,82945097
443461301,3790,3318656,1010066265,94190253
443461302,3790,4094794,1203418507,77012548
443471101,2223,1488558,1587676531,173159205
443471102,2223,4490798,2634461488,227685194
443471201,1819,0,208205080,24397770
443471202,1819,0,205996886,23577639
443471203,1819,2700476,622399637,41839538
443471204,1819,1472286,449056366,34059122
443471301,135,9136,5609849,358386
443471302,135,49676,29091680,2211768
443481101,714,934871,678056877,72249100
443481102,714,764436,393632856,32833045
443481201,2320,1704350,291442134,23622654
443481202,2320,2425421,674198508,48784749
443481203,2320,8413588,2504368213,201853255
443481204,2320,2507361,598586165,50923195
443481301,3034,2785956,446389585,32838004
443481302,3034,2987402,414470034,29387186
443491101,480,0,103217972,8751968
443491102,480,210631,92956203,7887060
443491201,1678,4845196,911329920,64201972
443491202,1678,677948,202620050,17786210
443491203,1678,2375189,740993767,60572582
443491204,1678,4812010,755434075,50325224
443491301,616,1113724,125188038,9060522
443491302,616,1224312,138812840,8003319
443501101,1700,2139442,966256706,63718523
443501102,1700,1743249,903409672,96164734
443501201,5100,216105,612649519,55358323
443501202,5100,432210,968725392,81060699
443501203,5100,5186525,1242746032,104291913
443501204,5100,144070,605890930,50340261
443501301,552,449499,59880139,3210115
443501302,552,941138,148516369,9689479
443511201,373,334324,76530426,7471080
443511202,373,264717,75464624,6692177
443511203,373,151342,46981726,4555739
443511204,373,415005,66258425,5925234
443511205,373,229914,61086306,5208616
443511206,373,256807,45960279,2903943
443511301,595,398354,76086818,4934660
443511302,595,502565,102295222,8064946
443521201,916,627181,250082379,24163041
443521202,916,1670758,275992750,17084142
443521203,916,871588,353184347,30753049
443521204,916,1034525,310159308,29662673
443521205,916,971161,223753698,19772375
443521206,916,646578,156121079,15005574
443521301,339,290806,51170493,3724010
443521302,339,269760,58089904,4309476
443531101,3118,2056351,1146241062,95051643
443531102,3118,5239951,5372086561,461421049
443531201,2320,6399765,1928093064,154131499
443531202,2320,2768972,1381918053,117868696
443531203,2320,3994528,1521599697,116127540
443531204,2320,855268,584894440,44985951
443531301,362,947738,151184768,9002841
443531302,362,536079,75813260,4355980
443541201,676,272912,91342267,5463993
443541202,676,950422,166718636,11907343
443541203,676,375970,104203505,6733847
443541204,676,555367,135578946,10649836
443541205,676,517197,181331032,12560600
443541206,676,998134,374967410,29909120
443541301,756,521266,106796171,8139762
443541302,756,504175,103329056,7268780
443551101,558,377523,249903087,20170384
443551102,558,608451,343630430,40268840
443551201,4185,6324891,1642087591,125586223
443551202,4185,7075602,1450462973,108323220
443551203,4185,5822446,1631563792,118083357
443551204,4185,8027291,2248660693,170065555
443551301,1883,3090921,553810772,44644630
443551302,1883,2561581,473797230,37736765
443561101,658,294676,461770908,34513014
443561102,658,657211,1090917997,90763183
443561201,4570,4467099,760852624,50750047
443561202,4570,16545049,3617180676,209948429
443561203,4570,4938339,1805008172,110422265
443561204,4570,6649005,2325962738,156127455
443561301,3802,725065,248773228,19747859
443561302,3802,9141187,1594673903,87931931
443571101,422,637401,309907225,30459827
443571102,422,699354,272882664,23980287
443571201,2440,2440170,941254965,74613949
443571202,2440,3736079,1120383695,90802572
443571203,2440,3329384,557626594,43972040
443571204,2440,3136376,1089931977,88837455
443571301,602,195731,106120281,10175878
443571302,602,882490,131741164,9707824
443581101,530,304075,108417630,11107785
443581102,530,167765,126816563,11523563
