,FILING_SEQ_NO,ASSESSMENT_YEAR,FORM_ID,GENDER,RES_STATUS,SALARIES,INCOME_HP,PRFT_GAIN_BP_OTHR_SPECLTV_BUS,PRFT_GAIN_BP_SPECLTV_BUS,PRFT_GAIN_BP_SPCFD_BUS,PRFT_GAIN_BP_INC_115BBF,TOTAL_PROFTS_GAINS_BP,ST_CG_AMT_1,ST_CG_AMT_2,LTCG_INDEXATION,ST_CG_AMT_APPRATE,LTCG_NO_INDEXATION,TOTAL_SCTG,LT_CG_AMT_1,LT_CG_AMT_2,TOTAL_LTCG,TOTAL_CAP_GAIN,INCOME_OS_NOT_RACEHORSE,INC_CHARBLE_SPL_RATE,WIN_LOT_PUZ,INCOME_OS_RACEHORSE,TOTAL_INCOME_OS,GTI_BEFORE_LOSSES,CYL_SET_OFF,BAL_AFTR_CYL_SET_OFF,BFL_SET_OFF_BALANCE,GROSS_TOTAL_INCOME,INC_CHG_TAX_SPL_RATES,DEDUCT_SEC_10A_OR_10AA,PARTB_CHAPTER_VIA,PARTC_CHAPTER_VIA,TOTAL_DEDUC_VIA,TOTAL_INCOME,INC_SPL_111A_112,NET_AGRC_INCOME,AGGREGATE_INCOME,CY_LOSS_CARRYFWD,TAX_PAYBLE_TI_SEC115JC,SURCHARGE_ON_DEEMED_TI,EDUCATION_CESS_SEC115JC,TOTAL_TAX_PAYBL_SEC115JC,TAX_NORMAL_RATE,TAX_SI_RATE,REBATE_AGRC_INCOME,TAX_PAYABL_TOT_INCOM,REBATE_87A,TAX_PAYABLE_ON_REBATE,SURCHARGE_25OFSI,SURCHARGE_ON_ABOVE_CRORE,TOTAL_SURCHARGE,REBATE,BALANCE_TAX_PAYABLE,EDUCATION_CESS,GROSS_TAX_LIABILITY,GROSS_TAX_PAYABLE,CRDEDIT_US115JD_EY,TAX_PAYBLE_AFTR_CRDT_SEC115JD,RELIEF_89,RELIEF_90,RELIEF_91,TOTAL_RELIEF,NET_TAX_LIABILTY,INT_PAYABLE_234A,INT_PAYABLE_234B,INT_PAYABLE_234C,TOTAL_INT_PAYABLE,AGGREGATE_LIABILTY,ADVANCE_TAX,TOTAL_TDS,TOTAL_TCS,SELF_ASSESMNT_TAX,TOTAL_TAX_PAID,TAX_PAYBL,REFUND_AMOUNT,AGE,EDUCATION_CESS_115JC,AGEGRP
20,277438908,2017,ITR-1,M,RES,900437.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900437,0,0,0,900437,0,0,0,0,184720,715720,0,0,0,0,0,0,0,0,68144,0,0,68144,0,68144,0,0,0,0,0,2044,70188,70188,0,0,0,0,0,0,70188,0,0,0,0,70188,0,93448,0,0,93448,0,23260,59,0,0
21,276728264,2017,ITR-1,M,RES,1828537.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35301,1863838,0,0,0,1863838,0,0,0,0,157464,1706370,0,0,0,0,0,0,0,0,336911,0,0,336911,0,336911,0,0,0,0,0,10107,347018,347018,0,0,0,0,0,0,347018,0,0,0,0,347018,0,350137,0,0,350137,0,3120,53,0,0
22,339647341,2017,ITR-1,M,RES,1067383.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1067383,0,0,0,1067383,0,0,0,0,67132,1000250,0,0,0,0,0,0,0,0,120075,0,0,120075,0,120075,0,0,0,0,0,3602,123677,123677,0,0,0,0,0,0,123677,0,0,0,0,123677,0,123679,0,0,123679,0,0,65,0,1
23,307107911,2017,ITR-1,M,RES,2222516.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2222516,0,0,0,2222516,0,0,0,0,150000,2072520,0,0,0,0,0,0,0,0,441756,0,0,441756,0,441756,0,0,0,0,0,13253,455009,455009,0,0,0,0,0,0,455009,0,0,0,0,455009,100000,362159,0,0,462159,0,7150,65,0,1
24,324860894,2017,ITR-1,M,RES,1116610.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54000,1170610,0,0,0,1170610,0,0,0,0,71600,1099010,0,0,0,0,0,0,0,0,154703,0,0,154703,0,154703,0,0,0,0,0,4641,159344,159344,0,0,0,0,0,0,159344,0,0,0,0,159344,0,163508,0,0,163508,0,4160,33,0,0
25,275638313,2017,ITR-1,M,RES,830203.1,-92863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,737340,0,0,0,737340,0,0,0,0,150000,587340,0,0,0,0,0,0,0,0,42468,0,0,42468,0,42468,0,0,0,0,0,1274,43742,43742,0,0,0,0,0,0,43742,0,0,0,0,43742,0,53050,0,0,53050,0,9310,52,0,0
26,293505098,2017,ITR-1,M,RES,660956.1,-111772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,549184,0,0,0,549184,0,0,0,0,150000,399180,0,0,0,0,0,0,0,0,14918,0,0,14918,5000,9918,0,0,0,0,0,298,10216,10216,0,0,0,0,0,0,10216,0,0,0,0,10216,0,28008,0,0,28008,0,17790,43,0,0
27,327892511,2017,ITR-1,M,RES,115000.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192056,307056,0,0,0,307056,0,0,0,0,78178,228880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0
28,282865021,2017,ITR-1,M,RES,1656256.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1656256,0,0,0,1656256,0,0,0,0,150000,1506260,0,0,0,0,0,0,0,0,276878,0,0,276878,0,276878,0,0,0,0,0,8306,285184,285184,0,0,0,0,0,0,285184,0,0,0,0,285184,0,331533,0,0,331533,0,46350,33,0,0
29,337125160,2017,ITR-1,F,RES,120000.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9175,129175,0,0,0,129175,0,0,0,0,175,129000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0
