FILING_SEQ_NO,AGE,AGEGRP,SALARIES,INCOME_HP,PRFT_GAIN_BP_OTHR_SPECLTV_BUS,PRFT_GAIN_BP_SPECLTV_BUS,PRFT_GAIN_BP_SPCFD_BUS,PRFT_GAIN_BP_INC_115BBF,TOTAL_PROFTS_GAINS_BP,SHORT_TERM_15PER,SHORT_TERM_30PER,SHORT_TERM_APPRATE,TOTAL_SCTG,LONG_TERM_10PER,LONG_TERM_20PER,TOTAL_LTCG,TOTAL_CAP_GAIN,INCOME_OS_NOT_RACEHORSE,INC_CHARBLE_SPL_RATE,INCOME_OS_RACEHORSE,TOTAL_INCOME_OS,TOTAL_INCOME_ALL,CYL_SET_OFF,BAL_AFTR_CYL_SET_OFF,BFL_SET_OFF_BALANCE,GROSS_TOTAL_INCOME,INC_CHG_TAX_SPL_RATES,DEDUCT_SEC_10A_OR_10AA,PARTB_CHAPTER_VIA,PARTC_CHAPTER_VIA,TI.TOTAL_DEDUC_VIA,TOTAL_INCOME,INC_SPL_111A_112,NET_AGRC_INCOME,AGGREGATE_INCOME,CY_LOSS_CARRYFWD,TAX_PAYBLE_TI_SEC115JC,SURCHARGE_ON_DEEMED_TI,EDUCATION_CESS,TOTAL_TAX_PAYBL_SEC115JC,TAX_NORMAL_RATE,TAX_SI_RATE,REBATE_AGRC_INCOME,TAX_PAYABL_TOT_INCOM,REBATE_87A,TAX_PAYABLE_ON_REBATE,SURCHARGE_25OFSI,SURCHARGE_ON_ABOVE_CRORE,TOTAL_SURCHARGE,EDUCATION_CESS.1,GROSS_TAX_LIABILITY,GROSS_TAX_PAYABLE,CRDEDIT_US115JD_EY,TAX_PAYBLE_AFTR_CRDT_SEC115JD,RELIEF_89,RELIEF_90,RELIEF_91,TOTAL_RELIEF,NET_TAX_LIABILTY,INT_PAYABLE_234A,INT_PAYABLE_234B,INT_PAYABLE_234C,TOTAL_INT_PAYABLE,AGGREGATE_LIABILTY,ADVANCE_TAX,TOTAL_TDS,TOTAL_TCS,SELF_ASSESMNT_TAX,TOTAL_TAX_PAID,TAX_PAYBL,REFUND_AMOUNT,Unnamed: 70
267047825,59.00471567,0,0,0,296360,0,0,0,296360,0,0,0,0,0,0,0,0,0,0,0,0,296360,0,296360,0,296360,0,0,0,0,0,296360,0,0,296360,0,0,0,0,0,4636,0,0,4636,4636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
267054829,52.65244464,0,0,0,344194,0,0,0,344194,0,0,0,0,0,0,0,0,0,0,0,0,344194,0,344194,0,344194,0,0,24463,0,24463,319730,0,0,319730,0,0,0,59,0,6973,0,0,6973,5000,1973,0,0,0,59,2032,2032,0,2032,,,,,2032,0,0,0,0,2032,0,4500,0,0,4500,0,2470,
267087135,95.59189975,2,0,286881,154210,0,0,0,154210,0,0,0,0,0,0,0,0,35690,0,0,35690,476781,0,476781,0,476781,0,0,153900,0,153900,322880,0,0,322880,0,0,0,69,0,7288,0,0,7288,5000,2288,0,0,0,69,2357,2357,0,2357,0,0,0,0,2357,0,0,0,0,2357,0,0,0,2360,2360,0,0,
267093088,29.97292569,0,0,0,178909,0,0,0,178909,0,0,0,0,0,0,0,0,755,0,0,755,179664,0,179664,0,179664,0,0,2383,0,2383,177280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,
267118541,44.80215042,0,0,0,566762,0,0,0,566762,0,0,0,0,0,0,0,0,0,0,0,0,566762,0,566762,0,566762,0,0,208763,0,208763,358000,0,0,358000,0,0,0,174,0,10800,0,0,10800,5000,5800,0,0,0,174,5974,5974,0,5974,0,0,0,0,5974,0,0,0,0,5974,0,0,0,5974,5974,0,0,
267120107,33.20314681,0,0,0,346500,0,0,0,346500,0,0,0,0,0,0,0,0,73116,0,0,73116,419616,0,419616,0,419616,0,0,151992,0,151992,267620,0,0,267620,0,0,0,0,0,1762,0,0,1762,1762,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,
267139296,60.0171139,1,0,0,319600,0,0,0,319600,0,0,0,0,0,0,0,0,562,0,0,562,320162,0,320162,0,320162,0,0,21252,0,21252,298910,0,0,298910,0,0,0,0,0,4891,0,0,4891,4891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
267151676,71.3807624,1,0,0,421560,0,0,0,421560,0,0,0,0,0,0,0,0,0,0,0,0,421560,0,421560,0,421560,0,0,71920,0,71920,349640,0,0,349640,0,0,0,149,0,9964,0,0,9964,5000,4964,0,0,0,149,5113,5113,0,5113,0,0,0,0,5113,0,0,0,0,5113,0,0,0,5113,5113,0,0,
267202612,68.3690924,1,0,0,517905,0,0,0,517905,0,0,0,0,0,0,0,0,0,0,0,0,517905,128194,389711,0,389711,0,0,63521,0,63521,326190,0,0,326190,0,0,0,79,0,7619,0,0,7619,5000,2619,0,0,0,79,2698,2698,0,2698,0,0,0,0,2698,0,0,0,0,2698,0,0,0,2700,2700,0,0,
267215643,51.74239239,0,0,0,309100,0,0,0,309100,0,0,0,0,0,0,0,0,0,0,0,0,309100,0,309100,0,309100,0,0,0,0,0,309100,0,0,309100,0,0,0,27,0,5910,0,0,5910,5000,910,0,0,0,27,937,937,0,937,0,0,0,0,937,0,0,0,0,937,0,0,0,940,940,0,3,
