FILING_SEQ_NO,AGE,AGEGRP,FORM_ID,ASSESSMENT_YEAR,SALARIES,INCOME_HP,PRFT_GAIN_BP_OTHR_SPECLTV_BUS,PRFT_GAIN_BP_SPECLTV_BUS,PRFT_GAIN_BP_SPCFD_BUS,PRFT_GAIN_BP_INC_115BBF,TOTAL_PROFTS_GAINS_BP,ST_CG_AMT_1,ST_CG_AMT_2,ST_CG_AMT_APPRATE,TOTAL_SCTG,LT_CG_AMT_1,LT_CG_AMT_2,TOTAL_LTCG,TOTAL_CAP_GAIN,INCOME_OS_NOT_RACEHORSE,INC_CHARBLE_SPL_RATE,INCOME_OS_RACEHORSE,TOTAL_INCOME_OS,GTI_BEFORE_LOSSES,CYL_SET_OFF,BAL_AFTR_CYL_SET_OFF,BFL_SET_OFF_BALANCE,GROSS_TOTAL_INCOME,INC_CHG_TAX_SPL_RATES,DEDUCT_SEC_10A_OR_10AA,PARTB_CHAPTER_VIA,PARTC_CHAPTER_VIA,TOTAL_DEDUC_VIA,TOTAL_INCOME,INC_SPL_111A_112,NET_AGRC_INCOME,AGGREGATE_INCOME,CY_LOSS_CARRYFWD,TAX_PAYBLE_TI_SEC115JC,SURCHARGE_ON_DEEMED_TI,EDUCATION_CESS_SEC115JC,TOTAL_TAX_PAYBL_SEC115JC,TAX_NORMAL_RATE,TAX_SI_RATE,REBATE_AGRC_INCOME,TAX_PAYABL_TOT_INCOM,REBATE_87A,TAX_PAYABLE_ON_REBATE,SURCHARGE_25OFSI,SURCHARGE_ON_ABOVE_CRORE,TOTAL_SURCHARGE,EDUCATION_CESS,GROSS_TAX_LIABILITY,GROSS_TAX_PAYABLE,CRDEDIT_US115JD_EY,TAX_PAYBLE_AFTR_CRDT_SEC115JD,RELIEF_89,RELIEF_90,RELIEF_91,TOTAL_RELIEF,NET_TAX_LIABILTY,INT_PAYABLE_234A,INT_PAYABLE_234B,INT_PAYABLE_234C,TOTAL_INT_PAYABLE,AGGREGATE_LIABILTY,ADVANCE_TAX,TOTAL_TDS,TOTAL_TCS,SELF_ASSESMNT_TAX,TOTAL_TAX_PAID,TAX_PAYBL,REFUND_AMOUNT,position,decile_group
304451871,50,0,ITR-3,2017,16000,0,636618,0,0,0,636618,0,0,0,0,0,0,0,0,324832,0,0,324832,977450,0,977450,0,977450,0,0,178592,0,178592,798860,0,0,798860,0,0,0,0,0,84772,0,0,84772,0,84772,0,0,0,2543,87315,87315,0,87315,0,0,0,0,87315,0,2130,1153,3283,90598,20000,31750,0,38850,90600,0,0,160772,10
294288278,42,0,ITR-1,2017,747856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78935,826791,0,0,0,826791,0,0,0,0,160000,666790,0,0,0,0,0,0,0,0,58358,0,0,58358,0,58358,0,0,0,1751,60109,60109,0,0,0,0,0,0,60109,0,0,0,0,60109,0,65373,0,0,65373,0,5260,146635,9
284120387,34,0,ITR-1,2017,1645284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101460,1746744,0,0,0,1746744,0,0,0,0,160000,1586740,0,0,0,0,0,0,0,0,301022,0,0,301022,0,301022,0,0,0,9031,310053,310053,0,0,0,0,0,0,310053,0,856,1078,1934,311987,0,288638,0,23350,311988,0,0,218221,10
309391958,57,0,ITR-3,2017,0,174300,5410091,0,0,0,5410091,0,0,0,0,0,0,0,0,155407,0,0,155407,5739798,0,5739798,0,5739798,0,0,160000,0,160000,5579800,0,254780,5834580,0,0,0,0,0,1575374,0,25956,1549418,0,1549418,0,0,0,46483,1595901,1595901,0,1595901,0,0,0,0,1595901,0,34377,41298,75675,1671576,1000000,104742,0,581790,1686532,0,14960,243855,10
320734762,50,0,ITR-1,2017,676999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22717,699716,0,0,0,699716,0,0,0,0,136050,563670,0,0,0,0,0,0,0,0,37734,0,0,37734,0,37734,0,0,0,1132,38866,38866,0,0,0,0,0,0,38866,0,0,0,0,38866,0,39146,0,0,39146,0,280,129313,9
308088492,43,0,ITR-3,2017,0,0,1074304,0,0,0,1074304,0,0,0,0,0,0,0,0,3697,0,0,3697,1078001,0,1078001,0,1078001,0,0,153697,0,153697,924300,0,0,924300,0,0,0,0,0,109860,0,0,109860,0,109860,0,0,0,3296,113156,113156,0,113156,0,0,0,0,113156,0,0,0,0,113156,0,311773,0,0,311773,0,198620,175854,10
297413199,59,0,ITR-1,2017,719634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6066,725700,0,0,0,725700,0,0,0,0,156066,569630,0,0,0,0,0,0,0,0,38926,0,0,38926,0,38926,0,0,0,1168,40094,40094,0,0,0,0,0,0,40094,0,0,0,0,40094,0,40094,0,0,40094,0,0,133773,9
307497589,60,1,ITR-3,2017,0,0,764788,0,0,0,764788,0,0,0,0,0,0,0,0,18769,0,0,18769,783557,0,783557,0,783557,0,0,164193,0,164193,619360,0,0,619360,0,0,0,0,0,43872,0,0,43872,0,43872,0,0,0,1316,45188,45188,0,45188,0,0,0,0,45188,0,1680,2022,3702,48890,20000,1123,0,27770,48893,0,0,141618,9
276988108,26,0,ITR-1,2017,877060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,877060,0,0,0,877060,0,0,0,0,217278,659780,0,0,0,0,0,0,0,0,56956,0,0,56956,0,56956,0,0,0,1709,58665,58665,0,0,0,0,0,0,58665,0,0,0,0,58665,0,106342,0,0,106342,0,47680,151541,9
329265227,26,0,ITR-3,2017,0,0,620000,0,0,0,620000,0,0,0,0,0,0,0,0,472,0,0,472,620472,0,620472,0,620472,0,0,60472,0,60472,560000,0,0,560000,0,0,0,0,0,37000,0,0,37000,0,37000,0,0,0,1110,38110,38110,0,38110,0,0,0,0,38110,3048,4572,1920,9540,47650,0,0,0,47650,47650,0,0,115668,8
